City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2020-04-17 15:01:49,-33.7,-53.46,69.91,61,12,4.68
1,Busselton,AU,2020-04-17 15:02:30,-33.65,115.33,60.01,48,96,9.82
2,Saskylakh,RU,2020-04-17 15:02:30,71.92,114.08,-3.59,87,0,5.64
3,Barbate,ES,2020-04-17 15:02:30,36.19,-5.92,71.01,68,75,8.05
4,Kapaa,US,2020-04-17 15:02:30,22.08,-159.32,73.4,78,1,11.41
5,Havre-Saint-Pierre,CA,2020-04-17 15:02:31,50.23,-63.6,30.2,50,20,10.29
6,Rapid Valley,US,2020-04-17 15:02:31,44.06,-103.15,37.99,68,1,4.7
7,Saint George,US,2020-04-17 15:02:31,37.1,-113.58,55.99,40,75,3.36
8,Ushuaia,AR,2020-04-17 15:00:01,-54.8,-68.3,48.2,81,20,6.93
9,Punta Arenas,CL,2020-04-17 15:01:43,-53.15,-70.92,44.6,70,0,13.87
10,Bredasdorp,ZA,2020-04-17 15:02:34,-34.53,20.04,71.6,35,96,13.87
11,Husavik,IS,2020-04-17 15:02:34,66.04,-17.34,51.8,57,20,19.46
12,Vila Velha,BR,2020-04-17 15:01:46,-20.33,-40.29,82.99,69,75,13.87
13,Hermanus,ZA,2020-04-17 15:02:35,-34.42,19.23,69.01,60,86,1.99
14,Vaini,TO,2020-04-17 15:02:35,-21.2,-175.2,73.4,88,20,4.7
15,Arman,RU,2020-04-17 15:02:35,59.7,150.17,19.17,95,100,9.89
16,Lasa,IT,2020-04-17 15:02:35,46.62,10.7,57.2,41,40,5.82
17,Albany,US,2020-04-17 15:02:36,42.6,-73.97,44.01,28,95,3.0
18,Paamiut,GL,2020-04-17 15:02:36,61.99,-49.67,28.4,90,100,9.78
19,Guerrero Negro,MX,2020-04-17 15:02:36,27.98,-114.06,62.98,65,0,2.95
20,Oktyabrskoye,RU,2020-04-17 15:02:37,43.06,44.74,64.4,31,54,8.95
21,Barrow,US,2020-04-17 15:02:37,71.29,-156.79,8.6,84,90,13.87
22,Mwingi,KE,2020-04-17 15:02:37,-0.93,38.06,74.75,63,96,7.18
23,Dikson,RU,2020-04-17 15:02:38,73.51,80.55,7.05,91,4,5.01
24,Uarini,BR,2020-04-17 15:02:38,-2.99,-65.11,75.2,100,90,2.24
25,Nanortalik,GL,2020-04-17 15:02:38,60.14,-45.24,30.04,92,100,20.07
26,Viedma,AR,2020-04-17 15:02:38,-40.81,-63.0,76.91,36,65,18.32
27,Airai,TL,2020-04-17 15:02:38,-8.93,125.41,63.19,75,40,1.77
28,Garden City,US,2020-04-17 15:02:39,42.33,-83.33,34.0,83,90,6.71
29,Hobart,AU,2020-04-17 14:59:08,-42.88,147.33,51.8,53,90,12.75
30,Alyangula,AU,2020-04-17 15:02:39,-13.85,136.42,75.2,100,97,6.31
31,Pisco,PE,2020-04-17 15:02:39,-13.7,-76.22,73.99,30,51,8.05
32,Koungou,YT,2020-04-17 15:02:40,-12.73,45.2,86.0,66,40,6.93
33,Lagoa,PT,2020-04-17 15:02:41,39.05,-27.98,59.7,71,100,5.1
34,Kaeo,NZ,2020-04-17 15:02:41,-35.1,173.78,64.0,96,81,4.0
35,Chokurdakh,RU,2020-04-17 15:02:41,70.63,147.92,-12.24,91,44,4.79
36,Coquimbo,CL,2020-04-17 15:02:41,-29.95,-71.34,62.6,72,0,3.36
37,Goderich,CA,2020-04-17 14:59:55,43.75,-81.72,43.0,61,100,9.75
38,Victoria,HK,2020-04-17 15:00:37,22.29,114.16,75.0,69,100,4.0
39,Hilo,US,2020-04-17 15:02:42,19.73,-155.09,69.8,83,90,5.82
40,Rikitea,PF,2020-04-17 15:02:42,-23.12,-134.97,76.86,66,50,7.16
41,Bozhou,CN,2020-04-17 15:02:42,33.88,115.77,55.08,52,32,6.96
42,Wuwei,CN,2020-04-17 15:02:43,37.93,102.64,59.0,20,92,2.1
43,Mataura,NZ,2020-04-17 15:02:43,-46.19,168.86,48.0,95,100,4.0
44,Faanui,PF,2020-04-17 15:02:43,-16.48,-151.75,82.51,69,75,8.41
45,Avarua,CK,2020-04-17 14:59:58,-21.21,-159.78,71.6,94,100,1.12
46,Ulaanbaatar,MN,2020-04-17 15:01:36,47.91,106.88,55.4,12,75,22.37
47,Presidencia Roque Saenz Pena,AR,2020-04-17 15:02:44,-26.79,-60.44,75.76,29,0,3.94
48,Bairiki,KI,2020-04-17 15:01:07,1.33,172.98,82.4,78,75,8.05
49,Port Lincoln,AU,2020-04-17 15:02:44,-34.73,135.87,60.73,67,43,7.02
50,Marawi,PH,2020-04-17 15:02:44,8.0,124.29,68.72,71,9,4.07
51,Butaritari,KI,2020-04-17 15:02:44,3.07,172.79,82.89,78,86,15.21
52,Bathsheba,BB,2020-04-17 15:01:04,13.22,-59.52,84.2,66,40,24.16
53,Port Elizabeth,ZA,2020-04-17 15:00:06,-33.92,25.57,68.0,64,13,8.05
54,Keflavik,IS,2020-04-17 15:02:45,64.0,-22.56,48.2,93,75,27.51
55,Kapit,MY,2020-04-17 15:02:45,2.02,112.93,75.94,94,100,1.43
56,Cape Town,ZA,2020-04-17 14:58:31,-33.93,18.42,69.01,56,20,12.75
57,Tessalit,ML,2020-04-17 15:02:46,20.2,1.01,102.06,9,40,6.11
58,Strezhevoy,RU,2020-04-17 15:02:46,60.73,77.59,48.2,61,100,13.42
59,Igarka,RU,2020-04-17 15:02:46,67.47,86.58,33.64,96,100,9.53
60,Jamestown,US,2020-04-17 15:02:47,42.1,-79.24,37.0,59,90,5.82
61,Kruisfontein,ZA,2020-04-17 15:02:47,-34.0,24.73,63.68,71,52,7.99
62,Atuona,PF,2020-04-17 15:02:47,-9.8,-139.03,81.77,74,91,13.27
63,Ribeira Grande,PT,2020-04-17 15:02:49,38.52,-28.7,64.4,68,20,10.29
64,Chingirlau,KZ,2020-04-17 15:02:49,51.09,54.08,47.59,76,99,17.27
65,Lebu,CL,2020-04-17 15:02:49,-37.62,-73.65,65.21,66,98,9.26
66,Iwaki,JP,2020-04-17 15:02:49,37.05,140.88,53.01,78,100,11.74
67,Rio Gallegos,AR,2020-04-17 14:58:47,-51.62,-69.22,53.6,52,0,14.99
68,Kaman,IN,2020-04-17 15:02:50,27.65,77.27,89.06,20,38,4.29
69,Mukhen,RU,2020-04-17 15:02:50,48.1,136.1,43.97,55,0,5.23
70,Lorengau,PG,2020-04-17 15:02:50,-2.02,147.27,82.06,72,99,1.12
71,Bandrele,YT,2020-04-17 15:02:51,-12.91,45.19,86.0,66,40,6.93
72,Ahipara,NZ,2020-04-17 15:02:51,-35.17,173.17,65.61,86,77,20.92
73,East London,ZA,2020-04-17 15:02:51,-33.02,27.91,77.0,65,1,6.93
74,Cherskiy,RU,2020-04-17 15:02:51,68.75,161.3,-0.38,91,29,7.38
75,Llangefni,GB,2020-04-17 15:02:52,53.26,-4.31,59.0,62,40,13.87
76,Kodiak,US,2020-04-17 15:02:52,57.79,-152.41,44.6,87,20,4.16
77,Estelle,US,2020-04-17 15:02:52,29.85,-90.11,77.0,78,90,10.29
78,Qaanaaq,GL,2020-04-17 15:02:52,77.48,-69.36,20.07,85,26,6.44
79,Ponta Delgada,PT,2020-04-17 15:02:53,37.73,-25.67,60.8,77,20,11.41
80,Bluff,NZ,2020-04-17 15:02:53,-46.6,168.33,48.0,95,100,4.0
81,Yulara,AU,2020-04-17 15:02:53,-25.24,130.99,80.6,26,90,9.17
82,Ilulissat,GL,2020-04-17 15:02:53,69.22,-51.1,30.2,54,20,5.82
83,Turayf,SA,2020-04-17 15:02:54,31.67,38.66,77.0,20,75,13.87
84,Mount Gambier,AU,2020-04-17 15:02:54,-37.83,140.77,51.8,100,75,8.05
85,Stephenville,US,2020-04-17 14:58:18,32.22,-98.2,62.01,66,90,12.75
86,Sao Miguel Do Araguaia,BR,2020-04-17 15:02:54,-13.28,-50.16,83.75,67,25,1.88
87,Borbon,PH,2020-04-17 15:02:55,10.84,124.03,86.0,70,20,5.82
88,Luba,GQ,2020-04-17 15:02:56,3.46,8.55,86.0,74,20,3.36
89,Margate,GB,2020-04-17 15:02:56,51.38,1.39,52.0,74,66,24.79
90,Khatanga,RU,2020-04-17 15:02:57,71.97,102.5,8.47,91,0,13.31
91,Bridgetown,BB,2020-04-17 15:02:10,13.1,-59.62,84.2,66,40,24.16
92,Dingle,PH,2020-04-17 15:02:58,11.0,122.67,81.23,74,5,7.94
93,Camana,PE,2020-04-17 14:59:11,-16.62,-72.71,75.87,64,55,9.04
94,Severo-Kurilsk,RU,2020-04-17 15:02:58,50.68,156.12,28.85,95,95,16.24
